iter	Passed	Remaining
1073	33116	77887
1074	33143	77848
1075	33172	77812
1076	33202	77780
1077	33230	77742
1078	33264	77719
1079	33284	77663
1080	33316	77634
1081	33348	77607
1082	33374	77565
1083	33409	77545
1084	33428	77487
1085	33462	77462
1086	33481	77405
1087	33514	77380
1088	33546	77350
1089	33570	77304
1090	33597	77264
1091	33617	77210
1092	33641	77163
1093	33665	77115
1094	33697	77089
1095	33719	77038
1096	33754	77016
1097	33782	76980
1098	33813	76948
1099	33844	76918
1100	33867	76871
1101	33902	76849
1102	33920	76791
1103	33952	76763
1104	33985	76735
1105	34012	76697
1106	34047	76675
1107	34070	76628
1108	34101	76596
1109	34137	76577
1110	34158	76525
1111	34182	76480
1112	34202	76425
1113	34225	76378
1114	34255	76346
1115	34294	76333
1116	34329	76312
1117	34355	76270
1118	34390	76249
1119	34420	76216
1120	34456	76198
1121	34492	76177
1122	34527	76156
1123	34553	76115
1124	34591	76100
1125	34630	76089
1126	34656	76047
1127	34701	76047
1128	34735	76024
1129	34758	75976
1130	34790	75949
1131	34829	75935
1132	34865	75915
1133	34894	75881
1134	34929	75859
1135	34958	75826
1136	34987	75790
1137	35013	75749
1138	35037	75703
1139	35069	75676
1140	35092	75628
1141	35130	75613
1142	35161	75582
1143	35190	75549
1144	35231	75540
1145	35272	75531
1146	35296	75486
1147	35333	75468
1148	35371	75452
1149	35391	75399
1150	35423	75370
1151	35458	75348
1152	35486	75312
1153	35517	75281
1154	35543	75241
1155	35572	75207
1156	35604	75179
1157	35630	75136
1158	35671	75129
1159	35705	75104
1160	35731	75063
1161	35764	75038
1162	35795	75007
1163	35826	74976
1164	35860	74953
1165	35883	74906
1166	35918	74884
1167	35953	74861
1168	35977	74817
1169	36021	74814
1170	36058	74796
1171	36083	74752
1172	36108	74710
1173	36141	74685
1174	36172	74654
1175	36207	74631
1176	36239	74604
1177	36265	74563
1178	36301	74543
1179	36322	74491
1180	36356	74467
1181	36381	74424
1182	36407	74383
1183	36440	74358
1184	36465	74316
1185	36489	74271
1186	36513	74225
1187	36551	74210
1188	36583	74182
1189	36609	74141
1190	36647	74125
1191	36680	74099
1192	36706	74059
1193	36740	74035
1194	36768	73998
1195	36800	73969
1196	36833	73944
1197	36860	73905
1198	36894	73881
1199	36933	73866
1200	36958	73823
1201	36990	73797
1202	37023	73769
1203	37052	73735
1204	37090	73720
1205	37130	73706
1206	37153	73659
1207	37185	73631
1208	37216	73601
1209	37244	73564
1210	37279	73542
1211	37305	73503
1212	37347	73494
1213	37381	73470
1214	37408	73430
1215	37437	73397
1216	37472	73375
1217	37498	73334
1218	37535	73315
1219	37576	73304
1220	37606	73272
1221	37637	73242
1222	37671	73217
1223	37696	73175
